Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:52:24,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1BBB10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:24,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1C0550>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:24,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1C1110>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2006
2026-05-12 06:52:24,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1BAC90>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:31,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1380D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2003
2026-05-12 06:52:31,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2003
2026-05-12 06:52:31,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1A9250>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2003
2026-05-12 06:52:31,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2001
2026-05-12 06:52:31,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1A8A90>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2003
2026-05-12 06:52:31,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1C2A50>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2003
2026-05-12 06:52:31,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1C1F10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2004
2026-05-12 06:52:38,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2007
2026-05-12 06:52:38,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1DCF10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:38,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1DC350>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:38,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1DE8D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:38,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1DDF10>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:38,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2007
2026-05-12 06:52:38,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1DF310>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:45,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE1E6E10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2003
,2002
2026-05-12 06:52:45,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE1E8490>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2004
2026-05-12 06:52:45,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2003
